name,target_muscles,equipment,difficulty,type,description
Jump Rope Double Under,cardiovascular,jump rope,intermediate,cardio,Double under jump rope
High Knees Sprint,cardiovascular,bodyweight,intermediate,cardio,Sprint with high knees
Butt Kicks,cardiovascular,bodyweight,beginner,cardio,Jogging with heel kicks
Skater Jumps,cardiovascular,bodyweight,intermediate,cardio,Lateral jumping movement
Lateral Shuffle,cardiovascular,bodyweight,beginner,cardio,Side to side shuffle
Shuttle Run,cardiovascular,bodyweight,intermediate,cardio,Back and forth sprint
Suicide Sprints,cardiovascular,bodyweight,advanced,cardio,Multi-direction sprint drill
Stair Climbing,cardiovascular,bodyweight,beginner,cardio,Stair climbing cardio
Stair Sprint,cardiovascular,bodyweight,intermediate,cardio,Sprinting up stairs
Incline Treadmill Walk,cardiovascular,machine,beginner,cardio,Treadmill incline walk
Treadmill Sprint,cardiovascular,machine,intermediate,cardio,Treadmill interval sprint
Assault Bike Sprint,cardiovascular,machine,intermediate,cardio,Assault bike intervals
Stairmill Climb,cardiovascular,machine,intermediate,cardio,Stair climbing machine
Swimming,cardiovascular,bodyweight,intermediate,cardio,Swimming cardio workout
Kickboxing,cardiovascular,bodyweight,intermediate,cardio,Kickboxing cardio
Shadow Boxing,cardiovascular,bodyweight,beginner,cardio,Boxing movement cardio
Bear Crawl,cardiovascular,bodyweight,intermediate,cardio,Crawling cardio movement
Crab Walk,cardiovascular,bodyweight,beginner,cardio,Reverse crawling movement
Farmers Walk Sprint,cardiovascular,dumbbells,intermediate,cardio,Weighted sprint walk
Medicine Ball Throw,cardiovascular,medicine ball,intermediate,cardio,Explosive ball throw
Plyo Box Step Up,cardiovascular,bodyweight,intermediate,cardio,Explosive box step up
Broad Jump,cardiovascular,bodyweight,intermediate,cardio,Forward jumping distance
Lateral Bounds,cardiovascular,bodyweight,intermediate,cardio,Side to side bounding
Speed Bag,cardiovascular,bodyweight,intermediate,cardio,Speed bag cardio workout
Cable Lateral Pulldown,back,cable machine,intermediate,pull,Lateral pulldown for back width
Dumbbell Pullover Press,chest,dumbbells,intermediate,push,Combined pullover and press
Seated Barbell Curl,biceps,barbell,intermediate,isolation,Seated barbell curl variation
Dumbbell Clean and Press,shoulders,dumbbells,advanced,push,Explosive clean to overhead press
Reverse Lunge to Knee Drive,glutes,bodyweight,intermediate,legs,Reverse lunge with knee drive
Single Arm Cable Row,back,cable machine,intermediate,pull,Single arm seated cable row
